module,type,name,res_id,src,value,comments
saas_portal,model,"ir.ui.view,arch_db",saas_portal.saas_portal_edit_database_view_form,Use the following link to log in as Administrator:<br/>,Use o seguinte link para fazer login como Administrador:<br/>,
saas_portal,model,"ir.model.fields,help",saas_portal.field_saas_portal_plan_dbname_template,Used for generating client database domain name. Use %i for numbering. Ignore if you use manually created db names,Usado para gerar o nome de domínio do banco de dados do cliente. Use %i para numeração. Ignore se você usa nomes db criados manualmente,
saas_portal,model,"ir.model.fields,field_description",saas_portal.field_saas_portal_create_client_user_id,User,Usuário,
saas_portal,model,"ir.model.fields,help",saas_portal.field_saas_portal_plan_server_id,User this saas server or choose random,User this saas server or choose random,
saas_portal,model,"ir.model,name",saas_portal.model_res_users,Users,Usuários,
saas_portal,model,"ir.model.fields,field_description",saas_portal.field_saas_config_param_value,Value,Valor,
saas_portal,model,"ir.model.fields,field_description",saas_portal.field_saas_portal_server_verify_ssl,Verify SSL,Verificar SSL,
saas_portal,selection,"saas_portal.plan,lang",0,Vietnamese / Tiếng Việt,Vietnamese / Tiếng Việt,
saas_portal,model,"ir.ui.view,arch_db",saas_portal.view_plans_form,Website Settings,Configurações do Site,
saas_portal,model,"ir.model.fields,field_description",saas_portal.field_saas_portal_plan_website_description,Website description,Website description,
saas_portal,model,"ir.model.fields,field_description",saas_portal.field_saas_portal_plan_on_create,Workflow on create,Workflow on create,
saas_portal,selection,"saas_portal.server,local_request_scheme",0,http,http,
saas_portal,selection,"saas_portal.server,request_scheme",0,http,http,
saas_portal,selection,"saas_portal.server,local_request_scheme",0,https,https,
saas_portal,selection,"saas_portal.server,request_scheme",0,https,https,
saas_portal,model,"ir.model.fields,help",saas_portal.field_saas_portal_plan_grace_period,initial days before expiration,Dias iniciais antes do vencimento,
saas_portal,model,"ir.ui.view,arch_db",saas_portal.information,it takes only a few minutes. Please check your email now for further instructions on how to login.,Demora apenas alguns minutos. Verifique agora seu e-mail para obter mais instruções sobre como fazer o login.,
